"","time","particle","mass","x","y","z","vx","vy","vz","p_x","p_y","p_z"
"200",1.99,"m1",1,93.302053,3.831088,0,-6.714776,-36.25979,0,-6.714776,-36.25979,0
"201",2,"m1",1,93.234567,3.466664,0,-6.748603,-36.442459,0,-6.748603,-36.442459,0
"202",2.01,"m1",1,93.166743,3.100412,0,-6.782431,-36.625128,0,-6.782431,-36.625128,0
"203",2.02,"m1",1,93.09858,2.732334,0,-6.816259,-36.807797,0,-6.816259,-36.807797,0
"204",2.03,"m1",1,93.03008,2.36243,0,-6.850086,-36.990466,0,-6.850086,-36.990466,0
"205",2.04,"m1",1,92.96124,1.990698,0,-6.883914,-37.173134,0,-6.883914,-37.173134,0
"206",2.05,"m1",1,92.892063,1.61714,0,-6.917741,-37.355803,0,-6.917741,-37.355803,0
"207",2.06,"m1",1,92.822547,1.241756,0,-6.951569,-37.538472,0,-6.951569,-37.538472,0
"208",2.07,"m1",1,92.752693,0.864544,0,-6.985397,-37.721141,0,-6.985397,-37.721141,0
"209",2.08,"m1",1,92.682501,0.485506,0,-7.019224,-37.90381,0,-7.019224,-37.90381,0
"210",2.09,"m1",1,92.611971,0.104641,0,-7.053052,-38.086479,0,-7.053052,-38.086479,0
"211",2.1,"m1",1,92.541102,-0.27805,0,-7.086879,-38.269148,0,-7.086879,-38.269148,0
"212",2.11,"m1",1,92.469895,-0.662568,0,-7.120707,-38.451817,0,-7.120707,-38.451817,0
"213",2.12,"m1",1,92.398349,-1.048913,0,-7.154534,-38.634486,0,-7.154534,-38.634486,0
"214",2.13,"m1",1,92.326466,-1.437085,0,-7.188362,-38.817155,0,-7.188362,-38.817155,0
"215",2.14,"m1",1,92.254244,-1.827083,0,-7.22219,-38.999824,0,-7.22219,-38.999824,0
"216",2.15,"m1",1,92.181684,-2.218908,0,-7.256017,-39.182493,0,-7.256017,-39.182493,0
"217",2.16,"m1",1,92.108785,-2.61256,0,-7.289845,-39.365162,0,-7.289845,-39.365162,0
"218",2.17,"m1",1,92.035549,-3.008038,0,-7.323672,-39.547831,0,-7.323672,-39.547831,0
"219",2.18,"m1",1,91.961974,-3.405343,0,-7.3575,-39.7305,0,-7.3575,-39.7305,0
"220",2.19,"m1",1,91.88806,-3.804475,0,-7.391328,-39.913169,0,-7.391328,-39.913169,0
"221",2.2,"m1",1,91.813809,-4.205433,0,-7.425155,-40.095838,0,-7.425155,-40.095838,0
"222",2.21,"m1",1,91.739219,-4.608218,0,-7.458983,-40.278507,0,-7.458983,-40.278507,0
"223",2.22,"m1",1,91.664291,-5.01283,0,-7.49281,-40.461176,0,-7.49281,-40.461176,0
"224",2.23,"m1",1,91.589024,-5.419268,0,-7.526638,-40.643845,0,-7.526638,-40.643845,0
"225",2.24,"m1",1,91.51342,-5.827533,0,-7.560466,-40.826514,0,-7.560466,-40.826514,0
"226",2.25,"m1",1,91.437477,-6.237625,0,-7.594293,-41.009183,0,-7.594293,-41.009183,0
"227",2.26,"m1",1,91.361196,-6.649544,0,-7.628121,-41.191852,0,-7.628121,-41.191852,0
"228",2.27,"m1",1,91.284576,-7.063289,0,-7.661948,-41.374521,0,-7.661948,-41.374521,0
"229",2.28,"m1",1,91.207618,-7.478861,0,-7.695776,-41.55719,0,-7.695776,-41.55719,0
"230",2.29,"m1",1,91.130322,-7.896259,0,-7.729603,-41.739859,0,-7.729603,-41.739859,0
"231",2.3,"m1",1,91.052688,-8.315485,0,-7.763431,-41.922528,0,-7.763431,-41.922528,0
"232",2.31,"m1",1,90.974715,-8.736537,0,-7.797259,-42.105197,0,-7.797259,-42.105197,0
"233",2.32,"m1",1,90.896405,-9.159415,0,-7.831086,-42.287866,0,-7.831086,-42.287866,0
"234",2.33,"m1",1,90.817755,-9.584121,0,-7.864914,-42.470534,0,-7.864914,-42.470534,0
"235",2.34,"m1",1,90.738768,-10.010653,0,-7.898741,-42.653203,0,-7.898741,-42.653203,0
"236",2.35,"m1",1,90.659442,-10.439011,0,-7.932569,-42.835872,0,-7.932569,-42.835872,0
"237",2.36,"m1",1,90.579778,-10.869197,0,-7.966397,-43.018541,0,-7.966397,-43.018541,0
"238",2.37,"m1",1,90.499776,-11.301209,0,-8.000224,-43.20121,0,-8.000224,-43.20121,0
"239",2.38,"m1",1,90.419436,-11.735048,0,-8.034052,-43.383879,0,-8.034052,-43.383879,0
"240",2.39,"m1",1,90.338757,-12.170713,0,-8.067879,-43.566548,0,-8.067879,-43.566548,0
"241",2.4,"m1",1,90.25774,-12.608205,0,-8.101707,-43.749217,0,-8.101707,-43.749217,0
