"","time","particle","mass","x","y","z","vx","vy","vz","p_x","p_y","p_z"
"187",1.86,"m1",1,0.4248,-0.905287,0,3.138255,1.407272,0,3.138255,1.407272,0
"188",1.87,"m1",1,0.455247,-0.890365,0,3.044676,1.492191,0,3.044676,1.492191,0
"189",1.88,"m1",1,0.484721,-0.874669,0,2.947395,1.569633,0,2.947395,1.569633,0
"190",1.89,"m1",1,0.513191,-0.858275,0,2.847,1.639438,0,2.847,1.639438,0
"191",1.9,"m1",1,0.540631,-0.84126,0,2.74407,1.701503,0,2.74407,1.701503,0
"192",1.91,"m1",1,0.567023,-0.823702,0,2.639179,1.755776,0,2.639179,1.755776,0
"193",1.92,"m1",1,0.592352,-0.805679,0,2.532882,1.802255,0,2.532882,1.802255,0
"194",1.93,"m1",1,0.616609,-0.787269,0,2.425713,1.840984,0,2.425713,1.840984,0
"195",1.94,"m1",1,0.639791,-0.768549,0,2.318187,1.87205,0,2.318187,1.87205,0
"196",1.95,"m1",1,0.661899,-0.749593,0,2.210787,1.89558,0,2.210787,1.89558,0
"197",1.96,"m1",1,0.682939,-0.730476,0,2.103969,1.911733,0,2.103969,1.911733,0
"198",1.97,"m1",1,0.70292,-0.711269,0,1.998156,1.920702,0,1.998156,1.920702,0
"199",1.98,"m1",1,0.721858,-0.692042,0,1.893738,1.922708,0,1.893738,1.922708,0
"200",1.99,"m1",1,0.739768,-0.672862,0,1.791069,1.917991,0,1.791069,1.917991,0
"201",2,"m1",1,0.756673,-0.653794,0,1.690468,1.906814,0,1.690468,1.906814,0
"202",2.01,"m1",1,0.772595,-0.634899,0,1.592217,1.889454,0,1.592217,1.889454,0
"203",2.02,"m1",1,0.787561,-0.616237,0,1.496563,1.8662,0,1.496563,1.8662,0
"204",2.03,"m1",1,0.801598,-0.597864,0,1.403716,1.837349,0,1.403716,1.837349,0
"205",2.04,"m1",1,0.814736,-0.579832,0,1.313852,1.803203,0,1.313852,1.803203,0
"206",2.05,"m1",1,0.827007,-0.562191,0,1.227113,1.764068,0,1.227113,1.764068,0
"207",2.06,"m1",1,0.838444,-0.544988,0,1.143607,1.720247,0,1.143607,1.720247,0
"208",2.07,"m1",1,0.849078,-0.528268,0,1.063412,1.672042,0,1.063412,1.672042,0
"209",2.08,"m1",1,0.858943,-0.512071,0,0.986573,1.61975,0,0.986573,1.61975,0
"210",2.09,"m1",1,0.868075,-0.496434,0,0.913111,1.563661,0,0.913111,1.563661,0
"211",2.1,"m1",1,0.876505,-0.481393,0,0.843017,1.504058,0,0.843017,1.504058,0
"212",2.11,"m1",1,0.884267,-0.466981,0,0.776257,1.441214,0,0.776257,1.441214,0
"213",2.12,"m1",1,0.891395,-0.453227,0,0.712775,1.375392,0,0.712775,1.375392,0
"214",2.13,"m1",1,0.89792,-0.440159,0,0.652492,1.306842,0,0.652492,1.306842,0
"215",2.14,"m1",1,0.903873,-0.427801,0,0.595312,1.235805,0,0.595312,1.235805,0
"216",2.15,"m1",1,0.909284,-0.416176,0,0.541117,1.16251,0,0.541117,1.16251,0
"217",2.16,"m1",1,0.914182,-0.405304,0,0.489776,1.087172,0,0.489776,1.087172,0
"218",2.17,"m1",1,0.918593,-0.395204,0,0.44114,1.009997,0,0.44114,1.009997,0
"219",2.18,"m1",1,0.922544,-0.385892,0,0.395048,0.931176,0,0.395048,0.931176,0
"220",2.19,"m1",1,0.926057,-0.377383,0,0.351328,0.850893,0,0.351328,0.850893,0
"221",2.2,"m1",1,0.929155,-0.36969,0,0.309796,0.769318,0,0.309796,0.769318,0
"222",2.21,"m1",1,0.931858,-0.362824,0,0.270258,0.686612,0,0.270258,0.686612,0
"223",2.22,"m1",1,0.934183,-0.356795,0,0.232513,0.602928,0,0.232513,0.602928,0
"224",2.23,"m1",1,0.936146,-0.351611,0,0.196353,0.51841,0,0.196353,0.51841,0
"225",2.24,"m1",1,0.937762,-0.347279,0,0.161563,0.433193,0,0.161563,0.433193,0
"226",2.25,"m1",1,0.939041,-0.343805,0,0.127924,0.347409,0,0.127924,0.347409,0
"227",2.26,"m1",1,0.939993,-0.341193,0,0.095213,0.261182,0,0.095213,0.261182,0
"228",2.27,"m1",1,0.940625,-0.339446,0,0.063204,0.174634,0,0.063204,0.174634,0
"229",2.28,"m1",1,0.940942,-0.338568,0,0.031668,0.087881,0,0.031668,0.087881,0
