"","time","particle","mass","x","y","z","vx","vy","vz","px","py","pz"
"290",2.89,"m1",1,1,-40.966805,0,0,-28.30185,0,0,-28.30185,0
"291",2.9,"m1",1,1,-41.250805,0,0,-28.39995,0,0,-28.39995,0
"292",2.91,"m1",1,1,-41.535785,0,0,-28.49805,0,0,-28.49805,0
"293",2.92,"m1",1,1,-41.821747,0,0,-28.59615,0,0,-28.59615,0
"294",2.93,"m1",1,1,-42.108689,0,0,-28.69425,0,0,-28.69425,0
"295",2.94,"m1",1,1,-42.396613,0,0,-28.79235,0,0,-28.79235,0
"296",2.95,"m1",1,1,-42.685517,0,0,-28.89045,0,0,-28.89045,0
"297",2.96,"m1",1,1,-42.975403,0,0,-28.98855,0,0,-28.98855,0
"298",2.97,"m1",1,1,-43.266269,0,0,-29.08665,0,0,-29.08665,0
"299",2.98,"m1",1,1,-43.558117,0,0,-29.18475,0,0,-29.18475,0
"300",2.99,"m1",1,1,-43.850945,0,0,-29.28285,0,0,-29.28285,0
"301",3,"m1",1,1,-44.144755,0,0,-29.38095,0,0,-29.38095,0
"302",3.01,"m1",1,1,-44.439545,0,0,-29.47905,0,0,-29.47905,0
"303",3.02,"m1",1,1,-44.735317,0,0,-29.57715,0,0,-29.57715,0
"304",3.03,"m1",1,1,-45.032069,0,0,-29.67525,0,0,-29.67525,0
"305",3.04,"m1",1,1,-45.329803,0,0,-29.77335,0,0,-29.77335,0
"306",3.05,"m1",1,1,-45.628517,0,0,-29.87145,0,0,-29.87145,0
"307",3.06,"m1",1,1,-45.928213,0,0,-29.96955,0,0,-29.96955,0
"308",3.07,"m1",1,1,-46.228889,0,0,-30.06765,0,0,-30.06765,0
"309",3.08,"m1",1,1,-46.530547,0,0,-30.16575,0,0,-30.16575,0
"310",3.09,"m1",1,1,-46.833185,0,0,-30.26385,0,0,-30.26385,0
"311",3.1,"m1",1,1,-47.136805,0,0,-30.36195,0,0,-30.36195,0
"312",3.11,"m1",1,1,-47.441405,0,0,-30.46005,0,0,-30.46005,0
"313",3.12,"m1",1,1,-47.746987,0,0,-30.55815,0,0,-30.55815,0
"314",3.13,"m1",1,1,-48.053549,0,0,-30.65625,0,0,-30.65625,0
"315",3.14,"m1",1,1,-48.361093,0,0,-30.75435,0,0,-30.75435,0
"316",3.15,"m1",1,1,-48.669617,0,0,-30.85245,0,0,-30.85245,0
"317",3.16,"m1",1,1,-48.979123,0,0,-30.95055,0,0,-30.95055,0
"318",3.17,"m1",1,1,-49.289609,0,0,-31.04865,0,0,-31.04865,0
"319",3.18,"m1",1,1,-49.601077,0,0,-31.14675,0,0,-31.14675,0
"320",3.19,"m1",1,1,-49.913525,0,0,-31.24485,0,0,-31.24485,0
"321",3.2,"m1",1,1,-50.226955,0,0,-31.34295,0,0,-31.34295,0
"322",3.21,"m1",1,1,-50.541365,0,0,-31.44105,0,0,-31.44105,0
