"","time","particle","mass","x","y","z","vx","vy","vz","px","py","pz"
"173",0.86,"m1",1,-0.81846,0,-0.574564,-1.63597,0,2.262583,-1.63597,0,2.262583
"174",0.86,"m2",1,-1.579442,0,-1.223336,-6.541245,0,7.61041,-6.541245,0,7.61041
"175",0.87,"m1",1,-0.833719,0,-0.552189,-1.525867,0,2.237407,-1.525867,0,2.237407
"176",0.87,"m2",1,-1.639559,0,-1.144322,-6.011698,0,7.901422,-6.011698,0,7.901422
"177",0.88,"m1",1,-0.847915,0,-0.530132,-1.419634,0,2.205726,-1.419634,0,2.205726
"178",0.88,"m2",1,-1.69421,0,-1.062847,-5.465018,0,8.147439,-5.465018,0,8.147439
"179",0.89,"m1",1,-0.86109,0,-0.508453,-1.317487,0,2.167941,-1.317487,0,2.167941
"180",0.89,"m2",1,-1.743268,0,-0.979369,-4.905824,0,8.347843,-4.905824,0,8.347843
"181",0.9,"m1",1,-0.873286,0,-0.487208,-1.219596,0,2.124455,-1.219596,0,2.124455
"182",0.9,"m2",1,-1.786654,0,-0.894343,-4.338603,0,8.502582,-4.338603,0,8.502582
"183",0.91,"m1",1,-0.884547,0,-0.466452,-1.12609,0,2.075664,-1.12609,0,2.075664
"184",0.91,"m2",1,-1.82433,0,-0.808222,-3.767638,0,8.612125,-3.767638,0,8.612125
"185",0.92,"m1",1,-0.894917,0,-0.446232,-1.037058,0,2.021958,-1.037058,0,2.021958
"186",0.92,"m2",1,-1.8563,0,-0.721448,-3.19695,0,8.677396,-3.19695,0,8.677396
"187",0.93,"m1",1,-0.904443,0,-0.426595,-0.952552,0,1.963716,-0.952552,0,1.963716
"188",0.93,"m2",1,-1.882602,0,-0.634451,-2.630254,0,8.699717,-2.630254,0,8.699717
"189",0.94,"m1",1,-0.913169,0,-0.407582,-0.872588,0,1.901307,-0.872588,0,1.901307
"190",0.94,"m2",1,-1.903311,0,-0.547643,-2.070922,0,8.680738,-2.070922,0,8.680738
"191",0.95,"m1",1,-0.92114,0,-0.389231,-0.797149,0,1.835084,-0.797149,0,1.835084
"192",0.95,"m2",1,-1.918531,0,-0.46142,-1.521969,0,8.62237,-1.521969,0,8.62237
"193",0.96,"m1",1,-0.928402,0,-0.371577,-0.72619,0,1.765384,-0.72619,0,1.765384
"194",0.96,"m2",1,-1.928392,0,-0.376152,-0.986044,0,8.526722,-0.986044,0,8.526722
"195",0.97,"m1",1,-0.934998,0,-0.354652,-0.659635,0,1.692529,-0.659635,0,1.692529
"196",0.97,"m2",1,-1.933046,0,-0.292192,-0.46543,0,8.396041,-0.46543,0,8.396041
"197",0.98,"m1",1,-0.940972,0,-0.338484,-0.597385,0,1.616822,-0.597385,0,1.616822
"198",0.98,"m2",1,-1.932666,0,-0.209865,0.037944,0,8.232656,0.037944,0,8.232656
"199",0.99,"m1",1,-0.946365,0,-0.323098,-0.539317,0,1.538546,-0.539317,0,1.538546
"200",0.99,"m2",1,-1.927442,0,-0.129476,0.522481,0,8.038929,0.522481,0,8.038929
"201",1,"m1",1,-0.951218,0,-0.308518,-0.48529,0,1.45797,-0.48529,0,1.45797
"202",1,"m2",1,-1.917573,0,-0.051304,0.986896,0,7.817216,0.986896,0,7.817216
"203",1.01,"m1",1,-0.95557,0,-0.294765,-0.43514,0,1.375339,-0.43514,0,1.375339
"204",1.01,"m2",1,-1.903271,0,0.024394,1.430187,0,7.569828,1.430187,0,7.569828
"205",1.02,"m1",1,-0.959457,0,-0.281856,-0.38869,0,1.290885,-0.38869,0,1.290885
"206",1.02,"m2",1,-1.884755,0,0.097384,1.851605,0,7.299007,1.851605,0,7.299007
