"","time","particle","mass","x","y","z","vx","vy","vz","px","py","pz","ke","pe","te"
"131",0.65,"m1",1,-0.222473,0,-0.974939,-3.994274,0,0.826139,-3.994274,0,0.826139,8.3183652171985,-9.56415159,-1.2457863728015
"132",0.65,"m2",1,0.337847,0,-1.803215,-8.733267,0,-2.585576,-8.733267,0,-2.585576,41.4775778725325,-17.68953915,23.7880387225325
"133",0.66,"m1",1,-0.261733,0,-0.96514,-3.925986,0,0.97985,-3.925986,0,0.97985,8.186736047348,-9.4680234,-1.281287352652
"134",0.66,"m2",1,0.247854,0,-1.82556,-8.999317,0,-2.23446,-8.999317,0,-2.23446,42.9902589790445,-17.9087436,25.0815153790445
"135",0.67,"m1",1,-0.300221,0,-0.95387,-3.848778,0,1.127058,-3.848778,0,1.127058,8.041675914324,-9.3574647,-1.315788785676
"136",0.67,"m2",1,0.155386,0,-1.844051,-9.24675,0,-1.849115,-9.24675,0,-1.849115,44.4608059228625,-18.09014031,26.3706656128625
"137",0.68,"m1",1,-0.337854,0,-0.941199,-3.763291,0,1.26711,-3.763291,0,1.26711,7.8839634513905,-9.23316219,-1.3491987386095
"138",0.68,"m2",1,0.060673,0,-1.858355,-9.471297,0,-1.430451,-9.471297,0,-1.430451,45.875828462805,-18.23046255,27.645365912805
"139",0.69,"m1",1,-0.374556,0,-0.927204,-3.670211,0,1.399427,-3.670211,0,1.399427,7.714422356425,-9.09587124,-1.381448883575
"140",0.69,"m2",1,-0.036013,0,-1.868155,-9.668652,0,-0.98002,-9.668652,0,-0.98002,47.221635348752,-18.32660055,28.895034798752
"141",0.7,"m1",1,-0.410259,0,-0.911969,-3.570261,0,1.523506,-3.570261,0,1.523506,7.5339170700785,-8.94641589,-1.4124988199215
"142",0.7,"m2",1,-0.134359,0,-1.873156,-9.834584,0,-0.50004,-9.834584,0,-0.50004,48.484541227328,-18.37566036,30.108880867328
"143",0.71,"m1",1,-0.4449,0,-0.89558,-3.464192,0,1.638923,-3.464192,0,1.638923,7.3433474063965,-8.7856398,-1.4422923936035
